Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.9877793834026434,68.42666666666666,0.2171017143661809,93.86
2,0.3341244474164586,89.75166666666667,0.10408469042028923,96.8
3,0.2371014187585062,92.90333333333334,0.09540164336683762,97.05
4,0.19279517643431673,94.08166666666666,0.06701601165047236,97.7
5,0.16497543898186703,95.01666666666667,0.05864093611446939,98.22
6,0.14649208803087282,95.505,0.062352286318797544,97.98
7,0.1342941715495228,95.86166666666666,0.046927469881706735,98.5
8,0.12733324855935377,96.12666666666667,0.05336656171389541,98.13
9,0.11913112053143254,96.34166666666667,0.03881492838745486,98.74000000000001
10,0.11059866145427928,96.60833333333333,0.040332353412867734,98.72
