Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.8474850019316937,73.81,0.18664252262111683,94.11
2,0.1788191348969587,94.56833333333333,0.10378450949700063,96.6
3,0.11803727183363903,96.42500000000001,0.077625626584687,97.44
4,0.09378557182403642,97.07000000000001,0.09531403104270435,96.95
5,0.07871390087381085,97.59666666666666,0.05590675708357316,98.25
6,0.07040769875502345,97.82499999999999,0.08719657906583232,97.2
7,0.06357004699696388,98.00999999999999,0.0406656766225618,98.65
8,0.057092072954748885,98.24166666666667,0.04351382340274152,98.59
9,0.05359731562674415,98.31666666666666,0.042309032953407315,98.61
10,0.048908689709654306,98.43833333333333,0.035512473608925496,98.75
11,0.04434298597554714,98.58333333333333,0.031017866664613186,98.97
12,0.0425150947046351,98.67333333333333,0.0554591601927302,98.13
13,0.03863031019209457,98.77333333333334,0.02825299612543563,99.02
14,0.038288107672050944,98.83333333333333,0.035132668517191844,98.82
15,0.03642288911372805,98.91499999999999,0.033171503801240995,98.89
16,0.033325396781563384,98.92833333333333,0.028287183086014838,99.07000000000001
17,0.03202394486152019,98.995,0.027427617762916537,99.11999999999999
18,0.029445872839869384,99.03666666666666,0.03533914087856133,98.78
19,0.02827821900015141,99.13166666666666,0.025057878802842777,99.1
20,0.027366581323520857,99.11333333333333,0.027988063932075216,99.03999999999999
