Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5143034191075355,85.80166666666666,0.2357685569389041,92.75
2,0.16740404359344987,94.94333333333333,0.11606448032199197,96.38
3,0.11226903018690566,96.60833333333333,0.08472167482083533,97.42
4,0.08727801669297665,97.39666666666666,0.06294363963003953,98.02
5,0.07263512159191342,97.8,0.0704369169714042,97.72999999999999
6,0.0631189141261167,98.05333333333334,0.05232297966296037,98.2
7,0.056340929877850957,98.28333333333333,0.05216405849631692,98.32
8,0.05072947735386863,98.45,0.04180694274325517,98.55000000000001
9,0.04619007895855523,98.585,0.04316279118354907,98.53
10,0.04223866049567166,98.72166666666666,0.03631765024704454,98.75
11,0.03910821858286631,98.81833333333333,0.03533993796613657,98.75
12,0.03575727249521003,98.91,0.03721071578248791,98.71
13,0.034317520386137286,98.95166666666667,0.03375064137933596,98.75
14,0.031390224582950536,99.00333333333333,0.03001320435198218,98.92999999999999
15,0.02979288035100187,99.08333333333333,0.032534667425931675,98.83999999999999
16,0.027713376842786682,99.14333333333335,0.0311405713038106,99.0
17,0.026103228593043096,99.195,0.029914973174191412,98.98
18,0.024470986331068874,99.23666666666666,0.031737962327908674,98.83
19,0.022643868333635492,99.28166666666667,0.03023498451470132,98.89
20,0.022342310819677066,99.32833333333333,0.029049424125923616,99.03999999999999
