Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5535406758234318,84.06,0.23296284670852552,92.93
2,0.1930548237847176,94.19333333333333,0.12396401129247751,96.06
3,0.13349257186472194,95.90666666666667,0.0922080238837642,97.26
4,0.10608233092650612,96.73,0.069896480501229,97.89999999999999
5,0.08938947373053936,97.28833333333333,0.06233220034320453,97.94
6,0.07739637871094143,97.66666666666667,0.053215461789784584,98.33
7,0.07116759626387453,97.88166666666666,0.04922684181350354,98.38
8,0.06274774895687062,98.11,0.04249129446881829,98.61999999999999
9,0.0578173672964574,98.23666666666668,0.042931713889409334,98.57000000000001
10,0.05351235684571363,98.36500000000001,0.03732121991649197,98.72999999999999
11,0.051419175318333066,98.395,0.035712559979546525,98.83
12,0.046343371377580725,98.61833333333333,0.0356713678601797,98.82
13,0.04520681767668853,98.65833333333333,0.03294772126565088,98.9
14,0.04101104926809903,98.75833333333334,0.03288578981643759,98.82
15,0.03953343122673314,98.74666666666667,0.032276405621397684,98.94
16,0.037929544387671196,98.82666666666667,0.030131583666884204,98.99
17,0.03500547764944717,98.91333333333333,0.029213990634984345,99.03999999999999
18,0.0332934996820609,98.96000000000001,0.028947723409690956,99.02
19,0.03171240205178782,99.05166666666668,0.031264900181604334,98.9
20,0.030605253780127635,99.03999999999999,0.028849153362133836,99.11999999999999
