Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,1.8602088156031138,52.91833333333334,1.0758563356035074,79.88
2,0.7634362598408514,78.96166666666666,0.4607071200753473,88.44999999999999
3,0.4785373023768732,85.97166666666666,0.3479533008993811,90.55
4,0.3926571974558617,88.31666666666666,0.29724538499477565,91.49000000000001
5,0.3422221019069777,89.74666666666667,0.26213082743535754,92.39
6,0.30892501891390095,90.66833333333332,0.23568078186244343,93.19
7,0.28012918873922404,91.56,0.21308798199389012,93.75
8,0.2576771735954386,92.155,0.19668947770052655,94.04
9,0.24008417328092843,92.89166666666667,0.18260957743189518,94.39
10,0.22385133647207003,93.22666666666667,0.16951214145738513,94.78999999999999
11,0.21017960678222083,93.71166666666667,0.1563078158084232,95.19999999999999
12,0.19666590098379008,94.08,0.14751995468785048,95.64
13,0.18611925307796326,94.50833333333334,0.13932242883060864,95.78999999999999
14,0.17685246149868344,94.77,0.13191759806114492,96.00999999999999
15,0.1666958762694206,95.02333333333334,0.1256233265810308,96.06
16,0.16030269651921955,95.24166666666667,0.12032627347844896,96.39
17,0.15098018233360513,95.6,0.11168588726828764,96.45
18,0.1454198535249781,95.685,0.1077158811344961,96.74000000000001
19,0.139869746420461,95.80833333333332,0.10243626429616313,96.84
20,0.1354912566120373,96.00833333333333,0.09969344901093015,96.83
