Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5835561459300234,83.13666666666667,0.19178696275113305,94.01
2,0.1955825960688563,94.1,0.1147431831237427,96.44
3,0.1354966234447542,95.895,0.08443515466535048,97.21
4,0.10839293948881058,96.69833333333332,0.06628500505878478,97.95
5,0.09043503349283531,97.28,0.055504642521508725,98.22999999999999
6,0.07842300706374239,97.58833333333334,0.05177991528706892,98.16
7,0.07275447188598562,97.79666666666667,0.04696886760540823,98.50999999999999
8,0.06404226994130022,98.055,0.041620828020835006,98.59
9,0.05884384440664234,98.23333333333333,0.04100054647579973,98.61
10,0.053689650091122205,98.35833333333333,0.03680447296460588,98.77
11,0.0517414730423982,98.38,0.03499266174315085,98.85000000000001
12,0.046661666134245265,98.54333333333334,0.03561170642345011,98.8
13,0.045794458274837774,98.57333333333334,0.032571409505342985,98.79
14,0.04172632070161454,98.74333333333334,0.03209328043473303,98.91
15,0.040100275822949887,98.715,0.030406758379558016,99.0
16,0.038287520773762435,98.84333333333333,0.029729173538042605,98.99
17,0.035685603547323023,98.89,0.03135483013066286,98.87
18,0.03412720524632225,98.90333333333334,0.02853539059890336,99.03
19,0.03235687803142448,98.97666666666667,0.027281644783111323,99.08
20,0.03138782506527405,99.02166666666666,0.027166477522827057,99.1
