Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.5244146604805804,85.28333333333333,0.2344323883699194,92.75999999999999
2,0.17459616423654023,94.69333333333333,0.12122825758567282,96.21
3,0.11811657234438575,96.475,0.08691748853841097,97.37
4,0.09173451052027455,97.24000000000001,0.06841236539815321,97.83
5,0.07603281302683389,97.72166666666666,0.06943446411239576,97.74000000000001
6,0.06720113912637014,97.94500000000001,0.053559539669451366,98.25
7,0.060614272089762444,98.17166666666667,0.05278102984332337,98.3
8,0.05405020617769717,98.33666666666666,0.04487760159234104,98.50999999999999
9,0.04931897322820035,98.49166666666666,0.04204730055266012,98.58
10,0.04578137688878884,98.61,0.03668983881008644,98.77
11,0.042204468309614204,98.68,0.03500223500578283,98.82
12,0.03792713763480728,98.84166666666667,0.03688968152547801,98.72999999999999
13,0.03701051326690993,98.88833333333334,0.03146235170990309,98.97
14,0.03425788631459682,98.94666666666667,0.03169716890108109,98.83
15,0.032137618710059546,99.00333333333333,0.033100859916792694,98.79
16,0.030376211648172974,99.07000000000001,0.03010195052918754,98.96000000000001
17,0.028264893762911778,99.095,0.02972886881549234,98.98
18,0.026418601136978793,99.15,0.02984315554806399,98.87
19,0.024908893085496903,99.21833333333333,0.028611793614551167,98.95
20,0.024564480943816788,99.23833333333333,0.030805998558694255,98.96000000000001
