Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.568579359671105,83.39999999999999,0.23194992102113118,92.93
2,0.20027322560818847,93.97666666666666,0.12107012880325413,96.2
3,0.14079491918715936,95.74666666666667,0.09043873702828434,97.34
4,0.11159990195915706,96.675,0.0707275957431923,97.74000000000001
5,0.09359953117503254,97.23333333333333,0.06306973978273488,97.92
6,0.08258461546468567,97.46333333333334,0.053288395348068764,98.27
7,0.07524055897790406,97.735,0.0502196645775141,98.37
8,0.06705557831179804,97.96333333333334,0.0441885439992866,98.53
9,0.06211956426241139,98.12666666666667,0.04597381572702538,98.48
10,0.05722140162306498,98.25166666666667,0.03870168305229237,98.64
11,0.054777711928973016,98.26166666666667,0.03689554037212411,98.71
12,0.04994820640534103,98.47166666666666,0.03649574376906492,98.8
13,0.04836179409076823,98.54833333333333,0.0335586838820954,98.81
14,0.0443083731366246,98.67166666666667,0.033375010726101044,98.78
15,0.04237207445526508,98.68666666666667,0.03172821359481868,98.94
16,0.04033126350011188,98.79166666666667,0.031031874963469343,98.94
17,0.03769576696675025,98.80666666666667,0.030715922897068097,98.92
18,0.036537400621951606,98.86833333333334,0.030045869158303578,98.96000000000001
19,0.03446369631643365,98.92333333333333,0.0307455481562698,98.92
20,0.03357115522135488,98.94500000000001,0.03001678443005096,99.00999999999999
