Epoch,Train Loss,Train Accuracy,Test Loss,Test Accuracy
1,0.170831436149355,94.77,0.04411138486874195,98.56
2,0.059230424279197134,98.175,0.0344964832388744,98.75
3,0.04391683764492736,98.66833333333334,0.02449507466031823,99.22
4,0.03309608029288752,98.98166666666667,0.03009742409321221,99.06
5,0.028407517687953972,99.12166666666667,0.028401101088418257,99.09
6,0.022567693631176583,99.3,0.027001355637032397,99.14
7,0.01937745559351471,99.36,0.024944995543540672,99.25
8,0.018664011390727903,99.40833333333333,0.027613634538053444,99.22
9,0.014678186648052748,99.50166666666667,0.027199277635274445,99.28
10,0.01317682663589883,99.53666666666666,0.031974368539511085,99.25
11,0.012561463310133756,99.56,0.02997500478550364,99.26
12,0.009505616014648074,99.67833333333334,0.027900193667454477,99.25
13,0.01052854183026416,99.61,0.027630024416874146,99.3
14,0.008825026895736035,99.69666666666667,0.028170648555172977,99.29
15,0.008222321188353015,99.74,0.030379941333658633,99.28
16,0.007897647846625444,99.72333333333333,0.03880214335808688,99.14
17,0.009175383126480124,99.7,0.034197811006145926,99.24
18,0.007115954466266547,99.76,0.03538898670785448,99.15
19,0.006667667558948859,99.79666666666667,0.03360771475828733,99.3
20,0.007747694119595833,99.73833333333333,0.03824071500766125,99.25
